pais_id;nom_pais;sag;nom_provincia;departamento;link;cant_acopi;cap_menos2;cap_2a5;cap_5a10;cap_mas10;codset
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;LUJAN DE CUYO;50063;1;0;0;1;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;GUALEGUAYCHU;30056;50;25;5;6;8;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN LUIS;CORONEL PRINGLES;74021;5;5;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;GUALEGUAY;30049;19;8;5;2;3;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;GUAYMALLEN;50028;18;13;3;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;MAIPU;50070;24;18;2;2;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;CAPITAL;50007;7;1;1;1;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;GODOY CRUZ;50021;5;5;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;ROSARIO;82084;244;104;50;26;14;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN LUIS;GENERAL PEDERNERA;74035;30;11;8;2;3;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;CASEROS;82014;106;40;12;14;21;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;TUPUNGATO;50126;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;LA PAZ;50042;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN LUIS;JUAN MARTIN DE PUEYRREDON;74056;3;1;0;0;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;CONSTITUCION;82028;56;22;9;5;7;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;ENTRE RIOS;ISLAS DEL IBICUY;30063;2;0;0;0;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;SAN NICOLAS;6763;13;3;2;0;5;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTA FE;GENERAL LOPEZ;82042;158;66;20;20;27;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;RAMALLO;6665;15;5;4;3;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;SAN CARLOS;50091;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;SAN PEDRO;6770;14;9;0;1;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;BARADERO;6070;9;5;0;0;4;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;PRESIDENTE ROQUE SAENZ PENA;14084;26;7;5;1;5;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CORDOBA;GENERAL ROCA;14035;22;4;1;2;4;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;ROJAS;6686;12;4;1;0;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;ZARATE;6882;13;7;4;0;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;SAN RAFAEL;50105;4;4;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;GENERAL ARENALES;6294;17;7;1;1;4;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;CAMPANA;6126;5;1;1;3;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;SAN ANTONIO DE ARECO;6735;15;9;3;0;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;EXALTACION DE LA CRUZ;6266;7;5;0;1;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;JUNIN;6413;42;16;7;5;6;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;LEANDRO N. ALEM;6462;5;3;1;0;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;SAN ANDRES DE GILES;6728;19;10;3;3;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;ESCOBAR;6252;5;2;1;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;TIGRE;6805;13;5;3;1;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;GENERAL ALVEAR;50014;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;PILAR;6638;19;11;0;0;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;LUJAN;6497;13;5;0;2;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;MENDOZA;MALARGUE;50077;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;MALVINAS ARGENTINAS;6515;4;2;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;JOSE C PAZ;6412;1;1;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SAN LUIS;GOBERNADOR DUPUY;74042;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;SAN ISIDRO;6756;46;17;3;6;4;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;GENERAL SAN MARTIN;6371;4;1;1;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;MORENO;6560;3;2;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;VICENTE LOPEZ;6861;24;9;3;0;8;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;BUENOS AIRES;GENERAL RODRIGUEZ;6364;6;2;0;1;0;1,03E+25
